Name,Ticker,Weight
BROWN FORMAN CORP CLASS B,BF.B,0.024151
SMITH (A.O.) CORP,AOS,0.024130
APA CORP,APA,0.023590
HENRY SCHEIN INC,HSIC,0.023443
PAYCOM SOFTWARE INC,PAYC,0.023057
NEWS CORP   CLASS A,NWSA,0.022989
BATH + BODY WORKS INC,BBWI,0.022926
CAESARS ENTERTAINMENT INC,CZR,0.022924
UNIVERSAL HEALTH SERVICES B,UHS,0.022877
AMERICAN AIRLINES GROUP INC,AAL,0.022260
WYNN RESORTS LTD,WYNN,0.022134
CATALENT INC,CTLT,0.021958
ASSURANT INC,AIZ,0.021808
HORMEL FOODS CORP,HRL,0.021502
CAMPBELL SOUP CO,CPB,0.021271
TAPESTRY INC,TPR,0.021037
ROBERT HALF INC,RHI,0.020998
ETSY INC,ETSY,0.020005
BORGWARNER INC,BWA,0.019154
FOX CORP   CLASS A,FOXA,0.018989
PINNACLE WEST CAPITAL,PNW,0.018738
FRANKLIN RESOURCES INC,BEN,0.018529
FEDERAL REALTY INVS TRUST,FRT,0.018168
DENTSPLY SIRONA INC,XRAY,0.017986
NORWEGIAN CRUISE LINE HOLDIN,NCLH,0.017774
COMERICA INC,CMA,0.017696
INVESCO LTD,IVZ,0.017563
FMC CORP,FMC,0.017535
GENERAC HOLDINGS INC,GNRC,0.016998
BIO RAD LABORATORIES A,BIO,0.016166
ZIONS BANCORP NA,ZION,0.016006
PARAMOUNT GLOBAL CLASS B,PARA,0.015785
HASBRO INC,HAS,0.015012
WHIRLPOOL CORP,WHR,0.014708
DAVITA INC,DVA,0.013784
VF CORP,VFC,0.013635
RALPH LAUREN CORP,RL,0.013516
MOHAWK INDUSTRIES INC,MHK,0.012255
FOX CORP   CLASS B,FOX,0.009390
NEWS CORP   CLASS B,NWS,0.007253
