"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Panola Livestock Enterprise Inc.","","","","$5,000","$0","$5,000","2022","20220928","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Carthage","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-panola-livestock-enterprise-inc-dba-panola","",""
"New York Mart Group Inc.","","","","$45,000","$0","$45,000","2022","20220921","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Long Island City","New York","","","","","","","","","","","","https://www.ams.usda.gov/press-release/new-york-mart-group-inc-new-york-satisfies-terms-consent-decision-and-order-involving","",""
"Equity Cooperative Livestock Sales Association","","","","$7,800","$0","$7,800","2023","20230206","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","Wisconsin","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-equity-cooperative-livestock-sales","",""
"Kinderman Livestock LLC","","","","$5,500","$0","$5,500","2023","20230203","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Hillsborough","Indiana","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-kinderman-livestock-llc","",""
"Hood River Juice Company Inc.","","","","$20,000","$0","$20,000","2023","20230105","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Hood River","Oregon","","","","","","","","","","","","https://www.ams.usda.gov/press-release/hood-river-juice-company-inc-oregon-satisfies-terms-consent-decision-and-order","",""
"Jackman Florida Wagyu Beef LLC","","","","$5,000","$0","$5,000","2022","20221220","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Clewiston","Florida","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-jackman-florida-wagyu-beef-llc-and-justin","",""
"Nebraska Beef LTD","","","","$13,000","$0","$13,000","2023","20230503","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Omaha","Nebraska","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-nebraska-beef-ltd","",""
"Joplin Regional Stockyards Inc.ÃƒÆ’â‚¬Å¡Â ","","","","$7,250","$0","$7,250","2023","20230718","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-joplin-regional-stockyards-inc","",""
"Salem Livestock Inc.Â ","","","","$5,500","$0","$5,500","2023","20230928","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-salem-livestock-inc","",""
"Beken Livestock Inc.Â ","","","","$9,000","$0","$9,000","2023","20230914","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Weimer","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-beken-livestock-inc-resulting-9000-penalty","",""
